cluster_id,frame_id,z_coordinate,intensity,color_marker
1,4,-0.109162,1.17875e+08,1
1,4,-0.109425,1.05821e+08,1
1,4,-0.110007,8.22416e+07,1
1,4,-0.111096,4.23306e+07,1
1,4,-0.0933962,7.2884e+07,1
1,4,-0.0928005,1.03032e+08,1
1,4,-0.0925404,1.1792e+08,1
1,4,-0.0923863,1.24107e+08,1
1,4,-0.092371,1.24485e+08,1
1,4,-0.092504,1.16209e+08,1
1,4,-0.0927278,1.03586e+08,1
1,4,-0.0932665,7.66066e+07,1
1,4,-0.0943577,2.60914e+07,1
1,4,-0.0765775,6.60906e+07,1
1,4,-0.0760691,9.85443e+07,1
1,4,-0.0758316,1.16848e+08,1
1,4,-0.075694,1.23411e+08,1
1,4,-0.0756815,1.23878e+08,1
1,4,-0.0757989,1.14582e+08,1
1,4,-0.0760059,1.00107e+08,1
1,4,-0.0764617,7.08107e+07,1
1,4,-0.0597818,4.9903e+07,1
1,4,-0.0592915,9.30901e+07,1
1,4,-0.0590727,1.15213e+08,1
1,4,-0.0589567,1.22691e+08,1
1,4,-0.0589469,1.23244e+08,1
1,4,-0.059045,1.13448e+08,1
1,4,-0.0592351,9.56844e+07,1
1,4,-0.0596333,6.28783e+07,1
1,4,-0.0428892,2.85131e+07,1
1,4,-0.0424429,8.72568e+07,1
1,4,-0.0422622,1.12399e+08,1
1,4,-0.0421728,1.21946e+08,1
1,4,-0.0421659,1.22581e+08,1
1,4,-0.0422408,1.12285e+08,1
1,4,-0.0423974,9.09633e+07,1
1,4,-0.0427581,4.71843e+07,1
1,4,-0.0255218,1.77865e+08,1
1,4,-0.0253985,2.40597e+08,1
1,4,-0.025341,2.67355e+08,1
1,4,-0.0253368,2.68246e+08,1
1,4,-0.0253847,2.44091e+08,1
1,4,-0.0254913,1.89144e+08,1
1,4,-0.025754,5.93729e+07,1
1,4,-0.00852622,1.57761e+08,1
1,4,-0.00848016,2.33461e+08,1
1,4,-0.00845968,2.65427e+08,1
1,4,-0.00845827,2.67271e+08,1
1,4,-0.00847522,2.38225e+08,1
1,4,-0.008515,1.7766e+08,1
1,4,0.00854724,1.329e+08,1
1,4,0.0084944,2.25922e+08,1
1,4,0.00847261,2.63419e+08,1
1,4,0.0084712,2.65502e+08,1
1,4,0.00848913,2.32006e+08,1
1,4,0.0085332,1.57377e+08,1
1,4,0.0257572,6.83567e+07,1
1,4,0.0255268,2.18031e+08,1
1,4,0.0254574,2.61333e+08,1
1,4,0.0254531,2.63627e+08,1
1,4,0.0255099,2.25471e+08,1
1,4,0.0256833,1.25463e+08,1
1,4,0.0426387,2.02403e+08,1
1,4,0.0424994,2.58711e+08,1
1,4,0.0424891,2.6165e+08,1
1,4,0.0425962,2.17844e+08,1
1,4,0.0429753,6.45895e+07,1
1,4,0.0598336,8.34822e+07,1
1,4,0.0596038,1.16053e+08,1
1,4,0.0595835,1.18023e+08,1
1,4,0.0597667,9.17635e+07,1
1,4,0.077111,7.48364e+07,1
1,4,0.0767706,1.1353e+08,1
1,4,0.0767414,1.17718e+08,1
1,4,0.0770153,8.51708e+07,1
1,4,0.0945727,3.77944e+07,1
1,4,0.0940012,1.10387e+08,1
1,4,0.0939619,1.17323e+08,1
1,4,0.0943439,7.13512e+07,1
1,4,0.111297,1.06654e+08,1
1,4,0.111247,1.16836e+08,1
1,4,0.111922,3.86272e+07,1
1,4,0.128661,1.02909e+08,1
1,4,0.128597,1.14904e+08,1
1,4,0.146014,1.01102e+08,1
1,4,0.145939,1.1167e+08,1

2,4,-0.0689988,121.071,0
2,4,-0.068666,253.359,0
2,4,-0.0687225,234.496,0
2,4,-0.0229225,249.947,0
2,4,-0.022941,222.7,0
2,4,0.022957,245.297,0
2,4,0.0229787,207.939,0
2,4,0.068976,504.768,0
2,4,0.0690736,362.241,0
2,4,0.115137,426.582,0

3,4,-0.068721,1.77882e+07,1
